premise,hypothesis,label
"You can opt out (via a link) from the use of unspecified information by a third party, which collects or receives it for marketing purposes.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of unspecified information by a third party, which uses it for an unspecified purpose.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"A user without an account can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
A user without an account can opt out (via a link) from the use of unspecified information by an unspecified party for an unspecified purpose.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
You can opt out (via a link) from the use of generic personal information by an unspecified party for advertising.,"(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"You can opt out (via a link) from the use of generic personal information by a third party, which collects or receives it for an unspecified purpose.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
"A user with an account can opt out (via a link) from the use of contact information by the site, which uses it for marketing purposes.","(b) “Alternative Opt-out Link” means the alternative opt-out link that a business may provide 
instead of posting the two separate “Do Not Sell or Share My Personal Information” and 
“Limit the Use of My Sensitive Personal Information” links as set forth in Civil Code section 
1798.135, subdivision (a)(3), and specified in section 7015.",Neutral
Another part of the company or institution does receive your unspecified personal information for marketing purposes. You can opt in for data collection for the collection or sharing and use of your information.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens by other parts of the company or affiliates.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
Another part of the company or institution does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt in for data collection.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
"The site collects your generic personal information for an unspecified purpose. Collection happens by other parts of the company or affiliates, and your data is identifiable.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
The site collects your generic personal information for an unspecified purpose. Collection happens by other parts of the company or affiliates. You can make a choice about the collection of your information.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
Another part of the company or institution does receive your unspecified personal information for marketing purposes. The data is aggregated or anonymized. You can opt in for data collection.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way. You can make a choice about the use of your information.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
The site collects your generic personal information for a basic service or feature. Collection happens by other parts of the company or affiliates.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection for the use of your information.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
The public does see your unspecified personal information for marketing purposes. This applies to users with accounts. You can opt in for data collection for the collection or sharing of your information.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
Another part of the company or institution does receive your unspecified personal information for marketing purposes. The data is personally identifiable.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
"The site collects your generic personal information for legal requirements. Collection happens on the website, and your data is identifiable.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
"The site collects your generic personal information for marketing purposes. Collection happens by an unnamed service or third party, and your data is identifiable.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
The site collects your generic personal information for marketing purposes. Collection happens when you implicitly provide information in an unspecified way.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
"The site collects your generic personal information for marketing purposes. Collection happens on the website, and your data is identifiable.","It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Neutral
The site collects your generic personal information for marketing purposes. Collection happens on the website.,"It includes a request for any or all of the following:  
(1)  Specific pieces of personal information that a business has collected about the 
consumer;  
(2)  Categories of personal information it has collected about the consumer; 
(3)  Categories of sources from which the personal information is collected; 
(4)  Categories of personal information that the business sold or disclosed for a 
business purpose about the consumer; 
(5)  Categories of third parties to whom the personal information was sold or 
disclosed for a business purpose; and  
(6)  The business or commercial purpose for collecting or selling personal 
information.",Contradiction
"A user with an account can opt out (by contacting the company) from the use of unspecified information by a third party, which collects or receives it for advertising.","(cc)  “Request to opt-out of sale/sharing” means a consumer request that a business 
neither sell nor share the consumer’s personal information to third parties, 
pursuant to Civil Code section 1798.120, subdivision (a).",Neutral
A named third party does receive something that uniquely identifies you for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
An unspecified third party does receive something that uniquely identifies you for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive something that uniquely identifies you for a basic service or feature.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
An unnamed third party does receive something that uniquely identifies you for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your unspecified personal information for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your unspecified personal information for service operations or security. This applies to users with accounts.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your user profile for service operations or security. This applies to users with accounts.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive unspecified information about you for service operations or security. This applies to users with accounts.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive something that uniquely identifies you for an unspecified purpose. The data is personally identifiable.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive unspecified information about you for service operations or security. The data is personally identifiable.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive unspecified information about you for service operations or security. This applies to a user type outside of our label scheme.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
An unnamed third party does receive something that uniquely identifies you for a basic service or feature.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your unspecified personal information for service operations or security. The data is aggregated or anonymized.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does do something unspecified with unspecified information about you for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does do something unspecified with your unspecified personal information for service operations or security. The data is personally identifiable.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your computer information for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive unspecified information about you for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
An unnamed third party does receive something that uniquely identifies you for an unspecified purpose.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your financial information for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does collect on the first party website or app your unspecified personal information for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your IP address or device IDs for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive unspecified information about you for service operations or security. The data is aggregated or anonymized.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your unspecified personal information for service operations or security. The data is personally identifiable. You can configure your privacy with third-party user settings.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
A named third party does receive your cookies or tracking elements for service operations or security.,"(jj) “Third-party identity verification service” means a security process offered by an 
independent third party that verifies the identity of the consumer making a request 
to the business.",Neutral
An unspecified third party does receive your unspecified personal information for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does receive your unspecified personal information for legal requirements. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does receive your unspecified personal information for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does receive unspecified information about you for legal requirements. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does receive something that uniquely identifies you for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does do something unspecified with your unspecified personal information for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does do something unspecified with unspecified information about you for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does receive your unspecified personal information for service operations or security. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unnamed third party does receive your unspecified personal information for legal requirements. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does receive your unspecified personal information for legal requirements.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does receive your unspecified personal information for legal requirements.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unnamed third party does receive unspecified information about you for legal requirements. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unspecified third party does receive unspecified information about you for service operations or security. This applies to users with accounts.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
An unnamed third party does do something unspecified with your unspecified personal information for service operations or security.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
A named third party does do something unspecified with your unspecified personal information for service operations or security. The data is personally identifiable.,"Third-party identity verification services are subject to the 
requirements set forth in Article 5 regarding requests to delete, requests to correct, 
or requests to know.",Neutral
The site collects your generic personal information for legal requirements. Collection happens in an unspecified way. You can choose not to use the service or feature for the use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does receive your unspecified personal information for an unspecified purpose. You can opt in for data collection.,Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for legal requirements. Collection happens when you explicitly provide information in an unspecified way for users with accounts. You can opt in for data collection for the collection of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does see your unspecified personal information for an additional (non-basic) service or feature. This applies to users with accounts. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
The public does see unspecified information about you for an unspecified purpose. You can opt in for data collection for the collection or sharing and use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does see your unspecified personal information for an additional (non-basic) service or feature. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does see your unspecified personal information for marketing purposes. This applies to users with accounts. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
Another part of the company or institution does do something unspecified with your unspecified personal information for an unspecified purpose. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way. You can opt in for data collection for the use of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
The site collects your generic personal information for legal requirements. Collection happens when you implicitly provide information in an unspecified way.,Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way. You can opt in for data collection for the collection and use of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
Other users does receive your unspecified personal information for an unspecified purpose. You can choose not to use the service or feature for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
Other users does see your unspecified personal information for an unspecified purpose. This applies to users with accounts. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of transactional data (e.g., online activity, purchases).",Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way. You can choose not to use the service or feature for the use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way. You can choose not to use the service or feature for the collection and use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way. You can configure your privacy using a method outside our label scheme for the collection and use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does not see your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,Restrictions on the Collection and Use of Personal Information.,Neutral
"A user with an account can make no specified choices about the use of generic personal information by a third party, which collects or receives it for an unspecified purpose.",Restrictions on the Collection and Use of Personal Information.,Neutral
"The site collects your generic personal information for legal requirements. Collection happens when you explicitly provide information by some means outside of our label scheme, and your data is identifiable. You can opt in for data collection for the collection of your information.",Restrictions on the Collection and Use of Personal Information.,Neutral
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way. You can opt in for data collection for the collection of your information.,Restrictions on the Collection and Use of Personal Information.,Contradiction
The site does not collect your generic personal information for legal requirements. Collection happens by some means outside of our label scheme for a user type outside of our label scheme. You can configure your privacy using a method outside our label scheme for the collection and use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
The public does see your unspecified personal information for an additional (non-basic) service or feature. This applies to users with accounts. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
Another part of the company or institution does receive your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can opt out by contacting the company for the collection or sharing and use of your information.,Restrictions on the Collection and Use of Personal Information.,Neutral
